frame_idx,timestamp_s,ax,ay,az,gx,gy,gz
41,1.411149,-0.04599476,0.17175907,-0.04738188,0.0,0.0,0.0
42,1.445567,-0.01194000,0.27511412,0.11256683,0.0,0.0,0.0
43,1.479986,0.02282238,0.28141141,-0.04145771,0.0,0.0,0.0
44,1.514404,-0.00880241,0.19113348,0.05536830,0.0,0.0,0.0
45,1.548822,0.01874447,0.17049637,0.01129496,0.0,0.0,0.0
46,1.583241,-0.08687496,0.07157393,0.00580835,0.0,0.0,0.0
47,1.617659,-0.00006104,0.02843203,0.05779588,0.0,0.0,0.0
48,1.652077,0.05195618,0.11326443,0.09921527,0.0,0.0,0.0
49,1.686495,-0.03549480,0.06606808,0.14728844,0.0,0.0,0.0
50,1.720914,0.11134434,0.09520418,0.05611360,0.0,0.0,0.0
51,1.755332,0.10704708,0.14141749,-0.05838895,0.0,0.0,0.0
52,1.789750,0.01014328,0.17187497,0.07641816,0.0,0.0,0.0
53,1.824169,0.04304409,0.13197054,0.03537416,0.0,0.0,0.0
54,1.858587,0.01836491,0.15830187,-0.11652762,0.0,0.0,0.0
55,1.893005,-0.04148006,0.13890648,0.16392612,0.0,0.0,0.0
56,1.927423,0.03231716,0.07828921,-0.12856376,0.0,0.0,0.0
57,1.961842,0.03653622,0.07226277,0.03569150,0.0,0.0,0.0
58,1.996260,-0.04138279,0.07083040,-0.04199016,0.0,0.0,0.0
59,2.030678,-0.05977631,0.03360996,0.15189588,0.0,0.0,0.0
60,2.065096,0.02960777,0.08449258,-0.07847667,0.0,0.0,0.0
61,2.099515,-0.06936646,0.07804414,0.07055867,0.0,0.0,0.0
62,2.133933,-0.06234837,0.07203391,-0.04725480,0.0,0.0,0.0
63,2.168351,-0.04573250,0.08590230,0.04499340,0.0,0.0,0.0
64,2.202770,-0.02026749,0.03425297,0.10475385,0.0,0.0,0.0
65,2.237188,0.10643101,0.12012349,-0.08131647,0.0,0.0,0.0
66,2.271606,-0.04149437,0.12507974,0.12868249,0.0,0.0,0.0
67,2.306024,0.01079273,0.12938851,-0.06481814,0.0,0.0,0.0
68,2.340443,0.06408405,0.15829383,-0.09805495,0.0,0.0,0.0
69,2.374861,-0.02655220,0.06458563,-0.01371610,0.0,0.0,0.0
70,2.409279,-0.04895782,0.07499696,0.03515244,0.0,0.0,0.0
71,2.443697,0.06282806,0.06877324,-0.06692898,0.0,0.0,0.0
72,2.478116,0.01150990,0.11014473,-0.21112663,0.0,0.0,0.0
73,2.512534,-0.17699337,0.05864994,0.00461102,0.0,0.0,0.0
74,2.546952,-0.03686047,0.10012768,-0.14883041,0.0,0.0,0.0
75,2.581371,-0.07076359,0.04411411,-0.04516244,0.0,0.0,0.0
76,2.615789,-0.05152130,0.05359806,-0.12855518,0.0,0.0,0.0
77,2.650207,-0.03558731,0.02839541,0.04363626,0.0,0.0,0.0
78,2.684625,0.03969860,0.03132573,0.06977499,0.0,0.0,0.0
79,2.719044,0.05102921,-0.01355641,-0.09715587,0.0,0.0,0.0
80,2.753462,0.03944778,-0.03995979,0.12328947,0.0,0.0,0.0
81,2.787880,0.02155972,-0.04092461,-0.04880196,0.0,0.0,0.0
82,2.822298,0.07514858,0.02888705,0.04260719,0.0,0.0,0.0
83,2.856717,0.05948448,-0.05205838,-0.16791618,0.0,0.0,0.0
84,2.891135,0.00820255,0.01923372,0.18784559,0.0,0.0,0.0
85,2.925553,-0.07104111,-0.11108986,-0.16021311,0.0,0.0,0.0
86,2.959972,-0.05754185,-0.06521040,-0.00368136,0.0,0.0,0.0
87,2.994390,-0.05070686,0.01736426,0.04780483,0.0,0.0,0.0
88,3.028808,-0.09881687,0.00575145,-0.12547225,0.0,0.0,0.0
89,3.063226,-0.06166363,-0.03663591,-0.07819778,0.0,0.0,0.0
90,3.097645,0.01644516,0.05596602,0.13697052,0.0,0.0,0.0
91,3.132063,0.01706886,0.00669555,-0.21922845,0.0,0.0,0.0
92,3.166481,0.01523304,-0.01911631,0.08721572,0.0,0.0,0.0
93,3.200899,0.08928013,-0.02651855,-0.11499077,0.0,0.0,0.0
94,3.235318,0.01348400,-0.02441023,-0.10164022,0.0,0.0,0.0
95,3.269736,0.08561993,0.04480548,0.01953512,0.0,0.0,0.0
96,3.304154,-0.01031208,-0.02896326,-0.05871904,0.0,0.0,0.0
97,3.338573,0.11378860,-0.03728782,-0.07356542,0.0,0.0,0.0
98,3.372991,-0.10365295,-0.07704761,-0.18406260,0.0,0.0,0.0
99,3.407409,-0.09375095,0.00786088,0.25054991,0.0,0.0,0.0
100,3.441827,0.16849709,-0.00327724,-0.17995489,0.0,0.0,0.0
101,3.476246,-0.04688740,-0.02818954,-0.11205947,0.0,0.0,0.0
102,3.510664,0.11812592,-0.03083258,-0.06045115,0.0,0.0,0.0
103,3.545082,-0.10286617,-0.06054458,-0.06371880,0.0,0.0,0.0
104,3.579500,0.18421650,-0.07292093,-0.30627084,0.0,0.0,0.0
105,3.613919,-0.03074074,0.01979981,-0.00096262,0.0,0.0,0.0
106,3.648337,0.08024406,-0.03119107,-0.03225601,0.0,0.0,0.0
107,3.682755,-0.05135250,-0.08270505,-0.03671408,0.0,0.0,0.0
108,3.717174,-0.09161091,0.07178429,0.09122026,0.0,0.0,0.0
109,3.751592,0.05472946,0.15690342,0.03482580,0.0,0.0,0.0
110,3.786010,-0.16231632,-0.04369471,-0.02035141,0.0,0.0,0.0
111,3.820428,-0.13490009,0.04539180,-0.59953439,0.0,0.0,0.0
112,3.854847,0.12199497,0.04441781,-0.13178945,0.0,0.0,0.0
113,3.889265,-0.04076862,-0.09761059,-0.26929736,0.0,0.0,0.0
114,3.923683,-0.02513599,-0.05857759,0.36524868,0.0,0.0,0.0
115,3.958101,0.09284210,0.00840508,0.30396235,0.0,0.0,0.0
116,3.992520,-0.04836178,-0.03454931,-0.28788561,0.0,0.0,0.0
117,4.026938,-0.03926468,0.01036561,0.01323086,0.0,0.0,0.0
118,4.061356,0.03701687,-0.03017089,-0.13358742,0.0,0.0,0.0
119,4.095775,-0.00092411,-0.02428892,-0.03687674,0.0,0.0,0.0
120,4.130193,0.00517464,-0.04755047,0.04844695,0.0,0.0,0.0
